MUNICIPIO_RESIDENCIA;URS;MICRO;MACRO;CodigoIBGE;Data;Grupo;Dose;Doses Aplicadas
Alto Rio Doce;Barbacena;BARBACENA;CENTRO SUL;310210;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Alvarenga;Governador Valadares;RESPLENDOR;LESTE;310220;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Alvinópolis;Ponte Nova;PONTE NOVA;LESTE DO SUL;310230;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Alvorada de Minas;Diamantina;SERRO;JEQUITINHONHA;310240;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Amparo do Serra;Ponte Nova;PONTE NOVA;LESTE DO SUL;310250;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Andradas;Pouso Alegre;POÇOS DE CALDAS;SUL;310260;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cachoeira de Pajeú;Pedra Azul;PEDRA AZUL;NORDESTE;310270;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Andrelândia;Juiz de Fora;LIMA DUARTE;SUDESTE;310280;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Angelândia;Teófilo Otoni;TEÓFILO OTONI/MALACACHETA;NORDESTE;310285;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Antônio Carlos;Barbacena;BARBACENA;CENTRO SUL;310290;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Antônio Dias;Coronel Fabriciano;CORONEL FABRICIANO/TIMÓTEO;VALE DO AÇO;310300;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Antônio Prado de Minas;Ubá;MURIAÉ;SUDESTE;310310;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Araçaí;Sete Lagoas;SETE LAGOAS;CENTRO;310320;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Aracitaba;Juiz de Fora;SANTOS DUMONT;SUDESTE;310330;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Araçuaí;Diamantina;ARAÇUAÍ;JEQUITINHONHA;310340;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Araguari;Uberlândia;UBERLÂNDIA/ARAGUARI;TRIÂNGULO DO NORTE;310350;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Arantina;Juiz de Fora;LIMA DUARTE;SUDESTE;310360;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Araponga;Ponte Nova;VIÇOSA;LESTE DO SUL;310370;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Araporã;Uberlândia;UBERLÂNDIA/ARAGUARI;TRIÂNGULO DO NORTE;310375;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Arapuá;Patos de Minas;SÃO GOTARDO;NOROESTE;310380;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Araújos;Divinópolis;DIVINÓPOLIS;OESTE;310390;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Araxá;Uberaba;ARAXÁ;TRIÂNGULO DO SUL;310400;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Arceburgo;Alfenas;GUAXUPÉ;SUL;310410;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Arcos;Divinópolis;Lagoa da Prata/Sto Ant. Monte;OESTE;310420;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Areado;Alfenas;ALFENAS/MACHADO;SUL;310430;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Argirita;Leopoldina;LEOPOLDINA/CATAGUASES;SUDESTE;310440;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Aricanduva;Diamantina;Turmalina/M. Novas/Capelinha;JEQUITINHONHA;310445;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Arinos;Unaí;UNAÍ;NOROESTE;310450;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Astolfo Dutra;Leopoldina;LEOPOLDINA/CATAGUASES;SUDESTE;310460;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ataléia;Teófilo Otoni;TEÓFILO OTONI/MALACACHETA;NORDESTE;310470;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Augusto de Lima;Sete Lagoas;CURVELO;CENTRO;310480;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Baependi;Varginha;SÃO LOURENÇO;SUL;310490;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Baldim;Sete Lagoas;SETE LAGOAS;CENTRO;310500;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bambuí;Divinópolis;FORMIGA;OESTE;310510;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bandeira;Pedra Azul;ALMENARA/JACINTO;NORDESTE;310520;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bandeira do Sul;Alfenas;ALFENAS/MACHADO;SUL;310530;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Barão de Cocais;Itabira;ITABIRA;CENTRO;310540;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Barão de Monte Alto;Ubá;MURIAÉ;SUDESTE;310550;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Barbacena;Barbacena;BARBACENA;CENTRO SUL;310560;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Barra Longa;Ponte Nova;PONTE NOVA;LESTE DO SUL;310570;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Barroso;São João Del Rei;SÃO JOÃO DEL REI;CENTRO SUL;310590;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bela Vista de Minas;Itabira;JOÃO MONLEVADE;CENTRO;310600;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Belmiro Braga;Juiz de Fora;JUIZ DE FORA;SUDESTE;310610;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Belo Horizonte;Belo Horizonte;BELO HORIZONTE/NOVA LIMA/CAETÉ;CENTRO;310620;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Belo Oriente;Coronel Fabriciano;IPATINGA;VALE DO AÇO;310630;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Belo Vale;Belo Horizonte;BELO HORIZONTE/NOVA LIMA/CAETÉ;CENTRO;310640;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Berilo;Diamantina;ARAÇUAÍ;JEQUITINHONHA;310650;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bertópolis;Teófilo Otoni;ÁGUAS FORMOSAS;NORDESTE;310660;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;240
Berizal;Montes Claros;TAIOBEIRAS;NORTE;310665;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Betim;Belo Horizonte;BETIM;CENTRO;310670;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bias Fortes;Juiz de Fora;LIMA DUARTE;SUDESTE;310680;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bicas;Juiz de Fora;SÃO JOÃO NEPOMUCENO/BICAS;SUDESTE;310690;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Biquinhas;Sete Lagoas;SETE LAGOAS;CENTRO;310700;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Boa Esperança;Varginha;TRÊS PONTAS;SUL;310710;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bocaina de Minas;Juiz de Fora;LIMA DUARTE;SUDESTE;310720;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bocaiúva;Montes Claros;BOCAIÚVA;NORTE;310730;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bom Despacho;Divinópolis;BOM DESPACHO;OESTE;310740;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bom Jardim de Minas;Juiz de Fora;LIMA DUARTE;SUDESTE;310750;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bom Jesus da Penha;Passos;PASSOS;SUL;310760;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bom Jesus do Amparo;Itabira;ITABIRA;CENTRO;310770;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bom Jesus do Galho;Coronel Fabriciano;CARATINGA;VALE DO AÇO;310780;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bom Repouso;Pouso Alegre;POUSO ALEGRE;SUL;310790;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bom Sucesso;São João Del Rei;SÃO JOÃO DEL REI;CENTRO SUL;310800;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bonfim;Belo Horizonte;BETIM;CENTRO;310810;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bonfinópolis de Minas;Unaí;UNAÍ;NOROESTE;310820;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bonito de Minas;Januária;JANUÁRIA;NORTE;310825;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Borda da Mata;Pouso Alegre;POUSO ALEGRE;SUL;310830;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Botelhos;Alfenas;ALFENAS/MACHADO;SUL;310840;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Botumirim;Montes Claros;FRANCISCO SÁ;NORTE;310850;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Brasilândia de Minas;Patos de Minas;JOÃO PINHEIRO;NOROESTE;310855;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Brasília de Minas;Januária;Brasília de Minas/S. Francisco;NORTE;310860;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Brás Pires;Ubá;UBÁ;SUDESTE;310870;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Braúnas;Coronel Fabriciano;IPATINGA;VALE DO AÇO;310880;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Brazópolis;Pouso Alegre;ITAJUBÁ;SUL;310890;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Brumadinho;Belo Horizonte;BETIM;CENTRO;310900;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bueno Brandão;Pouso Alegre;POUSO ALEGRE;SUL;310910;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Buenópolis;Sete Lagoas;CURVELO;CENTRO;310920;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Bugre;Coronel Fabriciano;IPATINGA;VALE DO AÇO;310925;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Buritis;Unaí;UNAÍ;NOROESTE;310930;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Buritizeiro;Pirapora;PIRAPORA;NORTE;310940;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cabeceira Grande;Unaí;UNAÍ;NOROESTE;310945;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cabo Verde;Alfenas;GUAXUPÉ;SUL;310950;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cachoeira da Prata;Sete Lagoas;SETE LAGOAS;CENTRO;310960;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cachoeira de Minas;Pouso Alegre;POUSO ALEGRE;SUL;310970;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cachoeira Dourada;Ituiutaba;ITUIUTABA;TRIÂNGULO DO NORTE;310980;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Caetanópolis;Sete Lagoas;SETE LAGOAS;CENTRO;310990;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Caeté;Belo Horizonte;BELO HORIZONTE/NOVA LIMA/CAETÉ;CENTRO;311000;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Caiana;Manhuaçu;CARANGOLA;SUDESTE;311010;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cajuri;Ponte Nova;VIÇOSA;LESTE DO SUL;311020;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Caldas;Pouso Alegre;POÇOS DE CALDAS;SUL;311030;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;61
Camacho;Divinópolis;CAMPO BELO;OESTE;311040;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Camanducaia;Pouso Alegre;POUSO ALEGRE;SUL;311050;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cambuí;Pouso Alegre;POUSO ALEGRE;SUL;311060;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cambuquira;Varginha;TRÊS CORAÇÕES;SUL;311070;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Campanário;Teófilo Otoni;ITAMBACURI;NORDESTE;311080;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Campanha;Varginha;TRÊS CORAÇÕES;SUL;311090;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Campestre;Alfenas;ALFENAS/MACHADO;SUL;311100;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Campina Verde;Ituiutaba;ITUIUTABA;TRIÂNGULO DO NORTE;311110;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Campo Azul;Januária;Brasília de Minas/S. Francisco;NORTE;311115;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Campo Belo;Divinópolis;CAMPO BELO;OESTE;311120;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Campo do Meio;Alfenas;ALFENAS/MACHADO;SUL;311130;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Campo Florido;Uberaba;UBERABA;TRIÂNGULO DO SUL;311140;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Campos Altos;Uberaba;ARAXÁ;TRIÂNGULO DO SUL;311150;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Campos Gerais;Alfenas;ALFENAS/MACHADO;SUL;311160;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Canaã;Ponte Nova;VIÇOSA;LESTE DO SUL;311170;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Canápolis;Ituiutaba;ITUIUTABA;TRIÂNGULO DO NORTE;311180;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cana Verde;Divinópolis;CAMPO BELO;OESTE;311190;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Candeias;Divinópolis;CAMPO BELO;OESTE;311200;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cantagalo;Governador Valadares;PEÇANHA/SÃO JOÃO EVANGELISTA;LESTE;311205;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Caparaó;Manhuaçu;CARANGOLA;SUDESTE;311210;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Capela Nova;Barbacena;BARBACENA;CENTRO SUL;311220;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Capelinha;Diamantina;Turmalina/M. Novas/Capelinha;JEQUITINHONHA;311230;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Capetinga;Passos;CÁSSIA;SUL;311240;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Capim Branco;Sete Lagoas;SETE LAGOAS;CENTRO;311250;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Capinópolis;Ituiutaba;ITUIUTABA;TRIÂNGULO DO NORTE;311260;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Capitão Andrade;Governador Valadares;GOVERNADOR VALADARES;LESTE;311265;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Capitão Enéas;Montes Claros;FRANCISCO SÁ;NORTE;311270;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Capitólio;Passos;PIUMHI;SUL;311280;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Caputira;Manhuaçu;MANHUAÇU;LESTE DO SUL;311290;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Caraí;Teófilo Otoni;PADRE PARAÍSO;NORDESTE;311300;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Caranaíba;Barbacena;CONSELHEIRO LAFAIETE;CENTRO SUL;311310;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carandaí;Barbacena;BARBACENA;CENTRO SUL;311320;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carangola;Manhuaçu;CARANGOLA;SUDESTE;311330;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Caratinga;Coronel Fabriciano;CARATINGA;VALE DO AÇO;311340;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carbonita;Diamantina;DIAMANTINA;JEQUITINHONHA;311350;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Careaçu;Pouso Alegre;POUSO ALEGRE;SUL;311360;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carlos Chagas;Teófilo Otoni;NANUQUE;NORDESTE;311370;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carmésia;Itabira;GUANHÃES;CENTRO;311380;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;172
Carmo da Cachoeira;Varginha;TRÊS CORAÇÕES;SUL;311390;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carmo da Mata;Divinópolis;Oliveira/Sto Ant. Amparo;OESTE;311400;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carmo de Minas;Varginha;SÃO LOURENÇO;SUL;311410;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carmo do Cajuru;Divinópolis;DIVINÓPOLIS;OESTE;311420;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carmo do Paranaíba;Patos de Minas;SÃO GOTARDO;NOROESTE;311430;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carmo do Rio Claro;Passos;PASSOS;SUL;311440;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carmópolis de Minas;Divinópolis;Oliveira/Sto Ant. Amparo;OESTE;311450;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carneirinho;Uberaba;FRUTAL/ITURAMA;TRIÂNGULO DO SUL;311455;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carrancas;Varginha;LAVRAS;SUL;311460;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carvalhópolis;Alfenas;ALFENAS/MACHADO;SUL;311470;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Carvalhos;Varginha;SÃO LOURENÇO;SUL;311480;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Casa Grande;Barbacena;CONSELHEIRO LAFAIETE;CENTRO SUL;311490;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cascalho Rico;Uberlândia;UBERLÂNDIA/ARAGUARI;TRIÂNGULO DO NORTE;311500;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cássia;Passos;CÁSSIA;SUL;311510;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Conceição da Barra de Minas;São João Del Rei;SÃO JOÃO DEL REI;CENTRO SUL;311520;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cataguases;Leopoldina;LEOPOLDINA/CATAGUASES;SUDESTE;311530;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Catas Altas;Itabira;ITABIRA;CENTRO;311535;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Catas Altas da Noruega;Barbacena;CONSELHEIRO LAFAIETE;CENTRO SUL;311540;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Catuji;Teófilo Otoni;PADRE PARAÍSO;NORDESTE;311545;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Catuti;Montes Claros;JANAÚBA/MONTE AZUL;NORTE;311547;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Caxambu;Varginha;SÃO LOURENÇO;SUL;311550;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cedro do Abaeté;Sete Lagoas;SETE LAGOAS;CENTRO;311560;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Central de Minas;Governador Valadares;MANTENA;LESTE;311570;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Centralina;Ituiutaba;ITUIUTABA;TRIÂNGULO DO NORTE;311580;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Chácara;Juiz de Fora;JUIZ DE FORA;SUDESTE;311590;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Chalé;Manhuaçu;MANHUAÇU;LESTE DO SUL;311600;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Chapada do Norte;Diamantina;Turmalina/M. Novas/Capelinha;JEQUITINHONHA;311610;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Chapada Gaúcha;Unaí;UNAÍ;NOROESTE;311615;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Chiador;Juiz de Fora;JUIZ DE FORA;SUDESTE;311620;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cipotânea;Barbacena;BARBACENA;CENTRO SUL;311630;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Claraval;Passos;CÁSSIA;SUL;311640;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Claro dos Poções;Montes Claros;MONTES CLAROS;NORTE;311650;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cláudio;Divinópolis;DIVINÓPOLIS;OESTE;311660;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Coimbra;Ubá;UBÁ;SUDESTE;311670;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Coluna;Diamantina;DIAMANTINA;JEQUITINHONHA;311680;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Comendador Gomes;Uberaba;FRUTAL/ITURAMA;TRIÂNGULO DO SUL;311690;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Comercinho;Pedra Azul;ITAOBIM;NORDESTE;311700;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
